year,country,value
2001,Albania,115110700.0
2002,Albania,21895182.0
2003,Albania,306317900.0
2004,Albania,46205270.0
2005,Albania,154876220.0
2006,Albania,57152864.0
2007,Albania,1626844300.0
2008,Albania,308303500.0
2009,Albania,145055580.0
2010,Albania,171404930.0
2011,Albania,649396160.0
2012,Albania,811678100.0
2013,Albania,38531224.0
2014,Albania,30481524.0
2015,Albania,111515160.0
2016,Albania,75828170.0
2017,Albania,559883460.0
2018,Albania,72500960.0
2019,Albania,111944460.0
2020,Albania,138240160.0
2001,Austria,15992066.0
2002,Austria,9391316.0
2003,Austria,14274798.0
2004,Austria,21358532.0
2005,Austria,38155576.0
2006,Austria,37296940.0
2007,Austria,6064106.0
2008,Austria,10035292.0
2009,Austria,0.0
2010,Austria,1287952.0
2011,Austria,74915870.0
2012,Austria,2522239.0
2013,Austria,1663604.0
2014,Austria,5473795.0
2015,Austria,4668825.0
2016,Austria,3166215.0
2017,Austria,1770933.0
2018,Austria,4829817.0
2019,Austria,4400502.0
2020,Austria,0.0
2001,Belgium,0.0
2002,Belgium,0.0
2003,Belgium,6708083.0
2004,Belgium,321988.0
2005,Belgium,375652.0
2006,Belgium,1019628.0
2007,Belgium,4454167.0
2008,Belgium,2414909.0
2009,Belgium,0.0
2010,Belgium,0.0
2011,Belgium,12825855.0
2012,Belgium,0.0
2013,Belgium,0.0
2014,Belgium,0.0
2015,Belgium,0.0
2016,Belgium,0.0
2017,Belgium,1019628.0
2018,Belgium,9337651.0
2019,Belgium,1985592.0
2020,Belgium,0.0
2001,Bulgaria,7601921500.0
2002,Bulgaria,980024060.0
2003,Bulgaria,2510969600.0
2004,Bulgaria,4950672400.0
2005,Bulgaria,2299370000.0
2006,Bulgaria,4037407200.0
2007,Bulgaria,2359581700.0
2008,Bulgaria,2693751600.0
2009,Bulgaria,1544093400.0
2010,Bulgaria,1075600900.0
2011,Bulgaria,2655435000.0
2012,Bulgaria,2946995200.0
2013,Bulgaria,1886474000.0
2014,Bulgaria,1432041600.0
2015,Bulgaria,1950388700.0
2016,Bulgaria,2623397000.0
2017,Bulgaria,2708831200.0
2018,Bulgaria,1254679800.0
2019,Bulgaria,1901929300.0
2020,Bulgaria,572065300.0
2001,Bosnia and Herzegovina,134751970.0
2002,Bosnia and Herzegovina,32628110.0
2003,Bosnia and Herzegovina,1103023500.0
2004,Bosnia and Herzegovina,46527256.0
2005,Bosnia and Herzegovina,57689510.0
2006,Bosnia and Herzegovina,53289004.0
2007,Bosnia and Herzegovina,537827260.0
2008,Bosnia and Herzegovina,136147230.0
2009,Bosnia and Herzegovina,162764930.0
2010,Bosnia and Herzegovina,48888504.0
2011,Bosnia and Herzegovina,301971040.0
2012,Bosnia and Herzegovina,1143272100.0
2013,Bosnia and Herzegovina,35204016.0
2014,Bosnia and Herzegovina,26134688.0
2015,Bosnia and Herzegovina,124287360.0
2016,Bosnia and Herzegovina,180742600.0
2017,Bosnia and Herzegovina,662543900.0
2018,Bosnia and Herzegovina,32842768.0
2019,Bosnia and Herzegovina,138776820.0
2020,Bosnia and Herzegovina,362934100.0
2001,Switzerland,0.0
2002,Switzerland,0.0
2003,Switzerland,5098142.0
2004,Switzerland,0.0
2005,Switzerland,0.0
2006,Switzerland,0.0
2007,Switzerland,1878262.0
2008,Switzerland,0.0
2009,Switzerland,0.0
2010,Switzerland,0.0
2011,Switzerland,0.0
2012,Switzerland,4454166.0
2013,Switzerland,0.0
2014,Switzerland,0.0
2015,Switzerland,0.0
2016,Switzerland,0.0
2017,Switzerland,0.0
2018,Switzerland,643976.0
2019,Switzerland,0.0
2020,Switzerland,0.0
2001,Czech Republic,5795782.0
2002,Czech Republic,26885992.0
2003,Czech Republic,7942368.0
2004,Czech Republic,17548342.0
2005,Czech Republic,36116316.0
